red=54896, ir=2714, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53912, ir=1533, HR=73, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53912, ir=1533, HR=73, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53912, ir=1533, HR=73, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53912, ir=1533, HR=73, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53831, ir=892, HR=84, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53831, ir=892, HR=85, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53831, ir=892, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53831, ir=892, HR=82, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53831, ir=892, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53831, ir=892, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53831, ir=892, HR=84, HRvalid=1, SPO2=-999, SPO2Valid=0
reed=54108, ir=990, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54148, ir=1118, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54194, ir=1249, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54231, ir=1373, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54274, ir=1484, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54311, ir=1600, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54010, ir=1350, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53774, ir=723, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53765, ir=718, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53742, ir=820, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53831, ir=892, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53823, ir=898, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53880, ir=1040, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53944, ir=1213, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53959, ir=1276, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53961, ir=1305, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53975, ir=1355, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54011, ir=1454, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54046, ir=1558, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54085, ir=1665, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54098, ir=1752, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54134, ir=1887, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54175, ir=2006, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54235, ir=2194, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54289, ir=2321, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54313, ir=2448, HR=71, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54341, ir=2520, HR=71, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54357, ir=2602, HR=71, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54390, ir=2706, HR=71, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54434, ir=2839, HR=71, HRvalid=1, SPO2=-999, SPO2Valid=0
